"Questionnaire","No","Question","A","B","C","D","E","Answer","Type","Difficulty","Explanation","Image"
"history_social_conditions_issues_co_drill_set_a","17","Codification of previous poor laws in England; made it compulsory for parishes to levy a 'poor rate' to fund financial support ('public assistance') for those who could not work.","Elizabethan Poor Law of 1901","Elizabethan Poor Law of 1601","","","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","18","'sturdy beggars'","Able-bodied Poor","Impotent Poor","Dependent Poor","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","19","people who were not able to work","Able-bodied Poor","Impotent Poor","Dependent Poor","","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","20","orphans, foundling, children, deserted by parents or parents are poor.","Able-bodied Poor","Impotent Poor","Dependent Poor","","","C","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","21","Enacted by Charles II to protect the community against additional burden created by poor persons moving in from communities.","Settlement Movement","Settlement Act of 1662","","","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","22","Stated that the state should not interfere with private economy.","Adam Smith","Thomas Malthus","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","23","He disapproved poor relief as it tended to encourage paupers to have more children to get relief for them.","Thomas Chalmers","Thomas Malthus","","","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","24","A Parish minister in Scotland ; principle of neighborly aid.","Thomas Chalmers","Thomas Malthus","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","25","Laid the 1st foundation for individual approach in social work – casework.","COS","London Charity Organization Society","","","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","26","The pioneer of public hygiene; developed a program against contagious disease.","Edwin Chadwick","Sir Robert Peel","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","27","He initiated the Health and Moral Act of 1802, he objected the use of young children in labor work camp and textile mills.","William Beveridge","Sir Robert Peel","","","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","28","He devised a system of social security; 5 giant evils.","William Beveridge","Sir Robert Peel","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","29","The 1st hospital and was transferred to Manila in 1571 under the Franciscans; it was renamed Steinberg General Hospital; originator of SanLazaro and San Juan De Dios during American Period.","Hospicio de San Jose","Hospitalito de Santa Ana","","","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","30","Hospital for lepers; was also built to house beggars; it started the concept of organized isolation of the sick – Fr. Juan Clemente.","San Lazaro","San Juan De Dios","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","31","Asylums that were organized ____ to take care of the victims of cholera epidemic, except one.","Nuestra Senora Dela Consolacion","Santo Tomas de Villanueva","Hospicio","","","C","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","32","Established to house the aged, orphans, mentally defective and young boys requiring reform.","Hospicio de San Jose","Asilo de San Vicente","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","33","The 1st asylum for girls.","Parochial School of Cebu","Asilo de San Vicente","","","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","34","Parochial school of Cebu, the 1st school established by the ____.","Franciscans","Augustinians","","","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","35","1st school for boys.","Colegio de San Felipe","Colegio de San Ignacio","","","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","36","A religious order that provided leadership in nursing the wounded.","COS","Hermanos","","","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","37","When was PGH established?","1902","1908","","","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","38","Insular board was created on","1910","1902","","","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","39","La Gota de Leche gets fresh cow’s milk in ____.","Pasay Farm","Manila Farm","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","40","When was PWB created?","Feb 15, 1915","June 27, 2001","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","41","On 1900, an attempt to alleviate the condition of deaf children started at","Philippine Women University","Philippine Normal School","","","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","42","Association de Damas Filipinas was organized by ____.","Civic-spirited Women","Civic-spirited Men","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","43","WWII existed from ____ during the Japanese Occupation period.","1942-1944","1941-1944","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","44","Bureau of Public Welfare was reopened","1946","1915","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","45","On Nov 12, 1947, 8 social workers had gone to US to pursue formal social work education","Nov 12, 1947","April 18, 1948","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","46","When was Philippine Social Work Code of ethics adopted?","November 24, 1964","Nov 12, 1947","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","47","Josefa Jara Martinez was the first director of what school?","PWU","CEU","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","48","It created dissident movement (Central Luzon) which threatened the stability of government.","Feudalistic Tenancy","Feudalistic Movement","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","49","PRATRA stands for","Philippine Relief And Trade Rehabilitation Administration","Philippine Relief and Trade Rehabilitation Agency","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","50","It became the underlying philosophy for rural community development projects by SWA.","Casework","Self-help","","","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","51","When did Marcos declare Martial Law?","September 21, 1972","September 12, 1972","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","52","Baranganic approach originated in ____","Davao","Manila","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","53","On January 30, 1987, Pres. Aquino signed E.O. ____ reorganized MSSD to DSWD.","123","143","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","54","Feel a physical loss of a part of the self.","Amputees","Handicapped","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","55","The ____ 1995-2025 (PPGD) is the government's 30 year perspective framework for pursuing full equality and development for women and men.","Philippine Plan for Gender-Responsive Development","Philippine Plan for Gender-Responsive Department","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","56","Developed by Max Weber","Bureaucratic & Autocratic Model","Custodial Model","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","57","____ setting up of the framework or structure of the different units of the system to carry out or perform distinct tasks for a ""specified objectives"".","Management","Organization","","","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","58","Woman who's enduring physical, romantic and/or emotional attraction is to other women","Gay","Lesbian","Bisexual","Transgender","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","59","____ is for people who have been convicted of a crime and have already served a portion of their prison sentence, ____ is a community supervision option that does not require the convicted person to spend time in jail.","Parole; Probation","Probation; Parole","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","60","These are those persons whose enduring physical, romantic, and or emotional attractions are to people of the same sex.","Gay","Lesbian","Bisexual","Transgender","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","61","A person who has the capacity to form enduring physical, romantic, and or emotional attractions to those of the same gender or to those of another gender.","Gay","Lesbian","Bisexual","Transgender","","C","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","62","An umbrella term for people whose gender identity and/or gender expression differs from what is typically associated with the sex they were assigned at birth.","Gay","Lesbian","Queer","Transgender","","D","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","63","____ an adjective used by some people particularly younger people whose sexual orientation is not exclusively heterosexual.","Gay","Lesbian","Queer","Transgender","","C","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","64","According to the Philippine Statistics Authority, what was the national poverty incidence among families in the Philippines in 2023?","10.9%","15.5%","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","65","When did the Philippines gain independence from the United States?","1946","1935","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","66","As of the latest data, which sector employs the largest number of Filipino workers?","Agriculture","Services","","","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","67","According to a 2024 U-Report poll by UNICEF, what was the top concern among Filipino youth?","Climate change and natural disasters","Access to quality education","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","68","What year was the Philippine Social Welfare and Development Act (Republic Act No. 7160) enacted, which decentralizes social welfare services?","1991","1992","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","69","What is considered the main driver of population growth in the Philippines according to recent demographic studies?","High mortality rate","High fertility rate","","","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","70","What is the primary cause of poverty in the Philippines according to the 2023 Social Weather Stations (SWS) report?","Lack of stable employment opportunities","High crime rates","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","71","What was the significance of the establishment of the Public Welfare Board in 1915 under the American regime in the Philippines?","It marked the beginning of organized government social welfare efforts in the country.","It was created solely to distribute foreign donations to disaster-stricken areas.","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","72","Which of the following is a key structural cause of poverty in the Philippines?","Unequal distribution of wealth and limited access to basic social services.","Laziness among poor households and their unwillingness to work.","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","73","Why is 1965 considered a milestone in the professionalization of social work in the Philippines?","It was the year the Republic Act No. 4373 or the Social Work Law was enacted.","It was the year when the first foreign-trained social workers arrived in the country.","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","74","The charity organization period","1870-1917","1917-1935","1935-1955","1955-1970","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","75","The rise of federation","1917-1935","1870-1917","1935-1955","1955-1970","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","76","Expansion & Professional development","1870-1917","1917-1935","1935-1955","1955-1970","","D","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","77","Community Organization & Social Change","1970-present (implied/based on sequence)","Other","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","78","Sustainable development paradigm started in the latter part of the 80's while its institutionalization took place in the 90's.","True","False","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","79","Marked the advent of the women's movement in the Philippines","1990s","1980s","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","80","CO is said to have started in the Philippines in the pre-colonial era in the form of","Bayanihan & Damayan","Disaster Relief","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","81","Associated charities was established in","1917","1914","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","82","ZOTO succeed to stop the construction of International Port in Tondo","True","False","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","83","____ was among the dominant approach used to address the problems after WWII.","Disaster Relief","Alms Giving","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","84","NGO's were using the tools of structural analysis and ____ as guiding frameworks (integrated methods).","Dependency Theory","CO","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","85","The ____ approach to management is one such strategy, in which the decision-making process occurs at the highest level and is then communicated to the rest of the team.","Top-down","Bottom-up","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","86","____ approach is a way of making corporate decisions that starts from the bottom of the hierarchy, rather than at the top.","Top-down","Bottom-up","","","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","87","Paolo Freire’s theory on ____ created a big influence in organizing work in the Philippines. His theoretical assertions provided theoretical assertions of CO in the country.","Pedagogy of the Oppressed","Liberative Education","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","88","Pedagogy means","The method and practice of teaching, especially as an academic subject or theoretical concept","Skill, science and art","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","89","Originally the term cry referred to the first clash between the Katipuneros and the Civil Guards (Guardia Civil). The cry could also refer to the tearing up of community tax certificates (cédulas personales) in defiance of their allegiance to Spain.","Cry of Pugad Lawin","Treaty of Paris","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","90","The Treaty of Paris ended the Spanish-American War, and forced Spain to cede the Philippines, Guam, and Puerto Rico to the United States. In return, the United States paid Spain ____ for the Philippines. President William McKinley was then faced with the decision of what to do with the Philippines.","$20 Million","$25 Million","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","91","The battle cry of 1970 and the 1980's is ____; It marked the peak of NGO work in the Philippines.","Revolution","People Power","","","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","92","CO adopted two pronged approach; strengthening people’s organization to gain more power &","Implementation of socio-economic activities","Implementation of biopsychosocial activities","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","93","1950s – 1960s ; SWA; dole-outs; marked the birth of community development in Ph","Reconstruction Period","Developmental Decade","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","94","1960s – 1970s ; NGOs; social action; sectoral & mass-based organizations were organized","Participatory Development","Developmental Decade","","","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","95","1970s –1980s; institutionalization of CO; PECCO; ZOTO; Integrated method; Paolo Freire's Liberative Education; shift from bottom-up to top-down","Socio-economic Work","Participatory Development","","","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","96","1980s – 1990s; People Power; marked the peak of NGO; CO - 2 pronged approach; fight for freedom & justice; formation of self-group","Socio-economic Work","Sustainable Development & Gender Development","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","97","1990s – onwards","Pre-colonial Era","Sustainable Development & Gender Development","","","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","98","The single national agency for social welfare during 1950s – 1960s","SWA","SWC","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","99","Community chest of Manila","December 20, 1949","December 21, 1959","","","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","100","It is a church-based organization whose main concern is to develop local organizers through training & education.","PECCO – Philippine Ecumenical Center for Community Organization (Saul Alinsky)","ZOTO","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","101","Occur within the borders of the same country, or cross international borders.","Migration","Immigration","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","102","Occurs when a person crosses an international border and becomes a permanent resident in another country.","Migration","Immigration","","","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","103","Types of recording","Summary","Narrative","Condensed","Process","All","E","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","104","This recording style is concerned with reporting the facts; may be condensed or process.","Summary","Narrative","Condensed","Process","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","105","Abridged, compact version which may have been reduced from its former site. It is generally useful for all types of cases, of clients, whether individual, family, group, or community, and is used practically is all types of social welfare agencies. It is used for reporting acts of practical helpfulness, events, and most collateral visits or case conferences. It may be used to show the contents of the interview of family or small group discussion in all instances except when the process itself and the use of relationships have special significance.","Summary","Narrative","Condensed","Process","","C","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","106","A written description of the dynamic interaction that has taken place in an interview. It should contain the purpose of the interview, worker's observations, and description of the intentions, impressions, worker's roles, and plan.","Process Recording","Narrative Process Recording","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","107","Used to show the process and the interaction within the interview or to show group interaction. It may be a step-by-step account of the proceedings.","Process Recording","Narrative Process Recording","","","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","108","It is a review or recapitulation of material","Summary","History","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","109","Are made to cover a certain period of time during which the case is under the care of or is being handled by the worker. This is applicable to long-term case work, group work with groups, and with community work. In the Philippines the latter may take years to realize the goal of building self reliant communities.","Transfer Summaries","Periodic Summaries","The Closing Entry/Summary","","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","110","Refers to the summary made when the case is to be transferred to another worker or is being referred to another agency. It may contain a brief statement of the problem, the treatment plan and what has been accomplished so far.","Transfer Summaries","Periodic Summaries","The Closing Entry/Summary","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","111","Focuses on the causes and results of the treatment or intervention. It covers the situation at intake and the reasons involved the problem that emerged, the treatment given, services extended, or intervention made.","Transfer Summaries","Periodic Summaries","The Closing Entry/Summary","","","C","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","112","This skill refers to the ability of the worker to understand the uniqueness of the person in his situation and to adapt his techniques to him.","Individualization","Differential Diagnosis","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","113","Worker's own tempo or pace","Timing","Space","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","114","Ability of the worker to concentrate both his and the client to significant aspect of the situation","Focusing","Partialization","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","115","Breaking down into manageable parts, helping the client to think about and decide where to start.","Focusing","Partialization","","","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","116","Worker's ability to determine the setting & the boundaries that will be most conducive to the work to be done. It includes the choice of physical setting, etc.","Community Organizing","Structuring","","","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","117","Manner & timing in the delivery of social services.","Case Management","Engagement","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","118","In 1989, Morales and Sheafer wrote skills in establishing partnership; engagement, empathy, communication, and ____.","Observation","Understanding","","","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","119","Period in which the worker begins to relate himself to the task at hand.","Empathy","Engagement","","","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","120","Understanding so intimate that the feelings, thoughts, and motives of one are readily comprehended by another","Empathy","Engagement","Communication","Observation","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","121","Sharing or exchange of thoughts between 2 or more persons.","Empathy","Engagement","Communication","Observation","","C","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","122","Paying attention to what is being verbally said and nonverbally communicated; involves a choice of what to see.","Empathy","Engagement","Communication","Observation","","D","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","123","A systematic procedure by which a complex of scientific tasks is accomplished","Strategy","Technique","","","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","124","Refers to inconsequential conversation; advisable only when there is no urgent matters.","Small Talk","Focus Group Discussion","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","125","To ____ another person is to encourage, to uphold, to sustain some aspect of the client's functioning - his strength, his attitude, his eagerness to do something about his problem.","Motivate","Support","","","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","126","Bringing to the surface the feelings and attitudes that needs to be brought out","Catharsis","Ventilation","","","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","127","The purification and purgation of emotions through dramatic art, or it may be any extreme emotional state that results in renewal and restoration. In its literal medical sense, it refers to the evacuation of the catamenia—the menstrual fluid or other reproductive material from the patient.","Catharsis","Ventilation","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","128","It is used to elicit necessary information; to bring out details about experiences and relationships as the client perceives them; and to examine the feelings connected to the relationships and experiences.","Evaluation / Assessment","Exploration","","","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","129","According to Reid and Shyne, exploration may be divided in two types; exploration about the client situation and his relation to it; ____.","Exploration into the client's own behavior","Exploration into the client's own personality","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","130","To make understandable a point or two.","Clarification","Questioning","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","131","Formerly known as advice-giving & counseling.","Education & Advice","Group Sessions","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","132","It is the utilization of a commonality of human experiences and strengths of others to cope with situations similar to those which are troubling the client.","Universalize","Universalization","","","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","133","To ____ is to pick up or choose a certain trait or pattern of behavior characteristic of all the members of a particular culture or of all human beings.","Universalize","Universalization","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","134","It may be used extensively when learning new ways of behavior is required.","Socialization","Role Rehearsal & Demonstration","","","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","135","To come face-to-face with the hard facts of the situation - with reality.","Confrontation","Integrity","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","136","A rule of a thumb would be for confrontation to be focused on specifics rather than generalities.","True","False","","","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","137","A type of stress produced when a person is motivated by two or more needs in such a manner that the satisfaction of need may mean the dissatisfaction of another one.","Ambivalence","Conflict","","","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","138","It means skillful management of events.","Sensitivity","Manipulation","","","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","139","Malcolm Knowles, an authority on adult learning describes ____ as the art of helping adults to learn.","Gestalt","Geriatric","Andragogy","","","C","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","140","It means the arousing of man’s positive self-concept in relation to the environment and society through a liberating education which treats learners as active agents rather than passive recipient of learning.","Conscious-raising","Conscientization","","","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","141","Praxis means","Reflection-action-reflection","Action-reflection","","","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","142","It is derived from the social and behavioral sciences","Assumptive knowledge","Tested knowledge","Hypothetical knowledge","","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","143","A proposition still subject to verification or proof; it is suppositional, conjectural and uncertain.","Assumptive knowledge","Tested knowledge","Hypothetical knowledge","","","C","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","144","May be drawn from the practitioner's experiences and observations in the field. It has to be transformed first into a hypothesis and then tested to be certain that it is valid and applicable.","Assumptive knowledge","Tested knowledge","Hypothetical knowledge","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","145","May be defined as the “acquaintance” with or theoretical or practical understanding of some branch of science, art, learning, and other areas involving study, research or practice, and the acquisition of skills.","Wisdom","Research","Knowledge","","","C","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","146","He came up with three types of knowledge","Wernes Boehm","Werner Boehm","","","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","147","Traditional and widely accepted way of behaving or doing something that is specific to a particular society, place, or time.","Folkways","Customs","Mores","","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","148","The principal method of human communication consisting of words","Parts of Speech","Dialect","Language","","","C","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","149","The standard of discerning what is good and just in society and are deeply embedded and critical for transmitting and teaching a culture’s beliefs.","Behavior","Norms","Values","","","C","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","150","The increase in the number of individuals in a population","Population growth","Population density","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","151","____ is the use of any chemical substance, licit or illicit, which results in the individual's physical, mental, or social impairment.","Drug abuse","Drug addict","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","152","A ____ is a chemical substance that brings about physical, emotional, or behavioral change in a person taking it","Drug","Pills","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","153","Drugs which increase alertness and physical disposition. Examples: amphetamine, cocaine, caffeine and nicotine.","Stimulants","Hallucinogens (also called psychedelics)","Sedatives","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","154","(also called psychedelics) - drugs which affect sensation, thinking, self-awareness, and emotion. Changes in time and space perception, delusions and hallucinations that may be mild or overwhelming, depending on dose and quality of the drug. Examples: LSD, mescaline and marijuana.","Stimulants","Hallucinogens","Sedatives","","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","155","Drugs which may reduce anxiety and excitement. Examples: barbiturates, nonbarbiturates, tranquilizers and alcohol.","Stimulants","Hallucinogens","Sedatives","","","C","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","156","Drugs that relieve pain and often induce sleep. Examples: opium and its derivatives such as morphine, codeine and heroin.","Narcotics","Heroine","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","157","____ includes a wide variety of breathable substances that produce mind-altering results and effects. Examples include Toluene, plastic cement, paint, gasoline, paint thinners, hair sprays, and various anesthetic gases.","Inhalants","Cannabis","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","158","The scientific name for marijuana.","Inhalants","Cannabis","","","","B","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","159","____ include drugs that inhibit pain by cutting off or dissociating the brain's perception of the pain. (PCP, its analogs, and dextromethoraphan)","Dissociative anesthetics","Narcotics","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","160","CNS depressants slow down the operations of the brain and the body. Examples of CNS depressants include alcohol, barbiturates, anti-anxiety tranquilizers (e.g., Valium, Librium, Xanax, Prozac, and Thorazine), GHB (gamma hydroxybutyrate), Rohypnol, and many other anti-depressants (e.g., Zoloft, Paxil). CNS means____","Central Nervous System","Central Nerve System","","","","A","mcq","","",""
"history_social_conditions_issues_co_drill_set_a","161","____ is an infectious disease caused by the SARS-CoV-2 virus.","Coronavirus disease (COVID-19)","H1N1 (A/H1N1)","","","","A","mcq","","",""
